Timestamp,market-price
2021-07-12 0:00,34227.64
2021-07-13 0:00,33158.25
2021-07-14 0:00,32686.56
2021-07-15 0:00,32814.61
2021-07-16 0:00,31738.59
2021-07-17 0:00,31421.25
2021-07-18 0:00,31520.66
2021-07-19 0:00,31783.49
2021-07-20 0:00,30815.94
2021-07-21 0:00,29790.24
2021-07-22 0:00,32118.06
2021-07-23 0:00,32297.89
2021-07-24 0:00,33581.63
2021-07-25 0:00,34279.34
2021-07-26 0:00,35365.2
2021-07-27 0:00,37318.14
2021-07-28 0:00,39405.95
2021-07-29 0:00,40002.53
2021-07-30 0:00,40005.93
2021-07-31 0:00,42214.15
2021-08-01 0:00,41659.06
2021-08-02 0:00,40000.46
2021-08-03 0:00,39193.94
2021-08-04 0:00,38138
2021-08-05 0:00,39750.14
2021-08-06 0:00,40882
2021-08-07 0:00,42825.95
2021-08-08 0:00,44634.13
2021-08-09 0:00,43816.14
2021-08-10 0:00,46333.46
2021-08-11 0:00,45608.37
2021-08-12 0:00,45611.46
2021-08-13 0:00,44417.78
2021-08-14 0:00,47833.98
2021-08-15 0:00,47112.19
2021-08-16 0:00,47056.41
2021-08-17 0:00,45982.55
2021-08-18 0:00,44648.57
2021-08-19 0:00,44777.86
2021-08-20 0:00,46734.65
2021-08-21 0:00,49327.75
2021-08-22 0:00,48932.02
2021-08-23 0:00,49335.68
2021-08-24 0:00,49523.5
2021-08-25 0:00,47744.58
2021-08-26 0:00,48972.09
2021-08-27 0:00,46962.8
2021-08-28 0:00,49056.86
2021-08-29 0:00,48897.65
2021-08-30 0:00,48806.78
2021-08-31 0:00,47074.77
2021-09-01 0:00,47155.87
2021-09-02 0:00,48862.76
2021-09-03 0:00,49329.01
2021-09-04 0:00,50035.33
2021-09-05 0:00,49947.38
2021-09-06 0:00,51769.06
2021-09-07 0:00,52677.4
2021-09-08 0:00,46809.17
2021-09-09 0:00,46078.38
2021-09-10 0:00,46368.69
2021-09-11 0:00,44847.48
2021-09-12 0:00,45144.79
2021-09-13 0:00,46059.12
2021-09-14 0:00,44968.76
2021-09-15 0:00,47072.12
2021-09-16 0:00,48167.85
2021-09-17 0:00,47785.26
2021-09-18 0:00,47263.6
2021-09-19 0:00,48259.45
2021-09-20 0:00,47249.38
2021-09-21 0:00,42901.56
2021-09-22 0:00,40619.27
2021-09-23 0:00,43604.76
2021-09-24 0:00,44888.96
2021-09-25 0:00,42815.56
2021-09-26 0:00,42742.01
2021-09-27 0:00,43182.63
2021-09-28 0:00,42238.2
2021-09-29 0:00,41011.16
2021-09-30 0:00,41522.38
2021-10-01 0:00,43757.81
2021-10-02 0:00,48140.11
2021-10-03 0:00,47727.1
2021-10-04 0:00,48205.72
2021-10-05 0:00,49143.95
2021-10-06 0:00,51505.83
2021-10-07 0:00,55343.76
2021-10-08 0:00,53801.1
2021-10-09 0:00,53867.3
2021-10-10 0:00,55122.59
2021-10-11 0:00,54625.74
2021-10-12 0:00,57452.01
2021-10-13 0:00,56242.94
2021-10-14 0:00,57406.69
2021-10-15 0:00,57397.74
2021-10-16 0:00,61641.17
2021-10-17 0:00,60948.78
